"Language", "Accuracy difference", "Accuracy total", "Accuracy second derivative", "Linear a1 C", "Linear a2 x", "Linear a3 x^2", "Negpow a1 C", "Negpow a2 x", "Negpow a3 x^2", "Expone a1 C", "Expone a2 x", "Expone a3 x^2"
"C commits", 1e-05, 1, 0.0001, 2926.2337167594264, -10741.999184552295, 8774.806772393915, 154.74718385160043, -902.117563493285, 1128.4465367593307, 10.62988956267997, -95.85165636436697, 91.51799274623352
"C lines", 1e-05, 1, 0.0001, 3023.0596536796497, -11268.337102617814, 9274.214816439619, 174.91013172647877, -1193.5505525665985, 1498.427064636227, 11.080415518301999, -124.71439313216983, 120.23301484877652
"C hunks", 1e-05, 1, 0.0001, 2988.5162894248606, -11070.57784481929, 9081.145329418896, 167.01639099022827, -1076.5118002956792, 1347.7519378132174, 10.872833015656356, -110.3757504329785, 105.9173162006048
"C++ commits", 1e-05, 1, 0.0001, 249.65651205936888, -917.8199373358693, 738.9465237039905, 14.92950884705887, -101.21236470610131, 118.707655769243, 8.539698676520223, -100.19762606253131, -1269.0768358804728
"C++ lines", 1e-05, 1, 0.0001, 258.7827210884351, -972.8255226483024, 794.0717240991802, 18.3797232884356, -153.31572222646255, 186.44189873187452, 9.680710305907606, -189.72118789852618, -1075.7559339489649
"C++ hunks", 1e-05, 1, 0.0001, 255.7305504019787, -952.026551754814, 772.0492337348973, 16.979026242250043, -131.571566594297, 157.7721734531443, 9.176859306453453, -149.67026428491783, -1052.5814170760393
"C\# commits", 1e-05, 1, 0.0001, 58.2327705627705, -212.4195201032706, 170.91499065872955, 3.5213140591423624, -23.944631196544105, 28.64999171010105, 7.367933535910531, -139.70798637211857, 26.12215933587633
"C\# lines", 1e-05, 1, 0.0001, 61.20972789115639, -228.61139595352063, 186.2835143058122, 4.320029662464396, -35.589811622790464, 43.505320546904706, 8.327462511929962, -205.43652944998917, -411.94155630565336
"C\# hunks", 1e-05, 1, 0.0001, 59.5472418058132, -219.22937635900433, 177.19400991719814, 3.895867829419334, -29.327806593319487, 35.462315650088215, 7.940909891005273, -178.43669633735286, -446.1463864570749
"Go commits", 1e-05, 1, 0.0001, 3.3128756957328376, -12.027522800299238, 9.69712817620298, 0.14238733771037376, -0.4883998070382738, 0.5342236289166877, 2.504153188007941, -24.24229667864376, 11.081153075422854
"Go lines", 1e-05, 1, 0.0001, 3.5827952999381543, -13.385885767448281, 10.926782954405878, 0.23346399723684952, -1.7960615112794538, 2.188110140266874, 3.395405279838266, -46.89415362784415, 5.10311172243283
"Go hunks", 1e-05, 1, 0.0001, 3.3612492269635093, -12.18436609567318, 9.788253735337513, 0.16489493548836875, -0.7933605628205034, 0.9069074885059752, 2.846116058103056, -34.15172897798313, 11.541639171798428
"Java commits", 1e-05, 1, 0.0001, 770.7244836116255, -2892.0327277625684, 2349.525768903419, 52.23996389213255, -416.46044625954795, 496.4000634518807, 9.500077378482331, -22.033996714601308, -5770.389530334999
"Java lines", 1e-05, 1, 0.0001, 790.7762090290653, -3005.838309761345, 2460.121582386328, 57.395982560712355, -492.7552680601998, 594.5161158850133, 11.086622895391429, -229.18802861562125, 210.03348522291688
"Java hunks", 1e-05, 1, 0.0001, 779.0107668521947, -2940.1394008548496, 2396.836502377728, 54.42909688450817, -449.14161424155884, 538.628397539483, 9.551822133764727, -13.795740373692762, -6607.200167143314
"JavaScript commits", 1e-05, 1, 0.0001, 6.500148423005558, -23.38002275617717, 18.521540029152977, 0.2567689008913306, -0.532378418158741, 0.31766573157629263, 3.4693341785928613, -37.068340865560586, 7.966561834987702
"JavaScript lines", 1e-05, 1, 0.0001, 7.212690166975871, -27.50995627774058, 22.57968894128306, 0.5303285203300234, -4.620915289069261, 5.603764447022339, 5.483672794463211, -139.0493685756423, 9.077651467976724
"JavaScript hunks", 1e-05, 1, 0.0001, 6.824415584415577, -25.43410307417294, 20.628953651667683, 0.3845039723691275, -2.486400563497393, 2.8749174292805786, 4.303355538357157, -69.42020837378702, 19.64189170888161
"Objective-C commits", 1e-05, 1, 0.0001, 7.239393939393933, -23.959019431354893, 18.619509009724506, 0.23625368827701987, 0.4978415193242287, -0.5611457234690677, 3.261293355536825, -27.027305026951947, -5.267090426159255
"Objective-C lines", 1e-05, 1, 0.0001, 8.634112554112546, -31.271663300783835, 25.411784875966582, 0.5314470117513714, -3.702544825663271, 4.724214940767338, 5.464816419174688, -137.0541374733456, 8.693408028143384
"Objective-C hunks", 1e-05, 1, 0.0001, 7.951997526283238, -27.699101242657257, 22.095606919635532, 0.35239192618309634, -1.1288566294208873, 1.4670627210712803, 4.0584430337377055, -54.707807289966546, 7.043970293610352
"Perl commits", 1e-05, 1, 0.0001, 6.780253555967836, -24.773168673409952, 19.743450935729832, 0.3869198945469172, -2.4147685579406173, 2.688453457109859, 4.383517536041742, -73.9549576752065, 21.40912540501205
"Perl lines", 1e-05, 1, 0.0001, 6.7917687074829844, -24.996991055648145, 20.043480938730102, 0.41425986490827826, -2.864958076249092, 3.2990807258683246, 4.561664509130211, -82.64012301725334, 21.89390687791949
"Perl hunks", 1e-05, 1, 0.0001, 6.731051329622749, -24.630370239905126, 19.67573708151126, 0.40725255679106587, -2.7574011543358847, 3.158076034132071, 4.528739033650077, -81.53378318178615, 24.669098846771252
"PHP commits", 1e-05, 1, 0.0001, 26.894211502782902, -100.48288406271591, 81.24617984007281, 1.660367622389252, -11.966735394714789, 13.84907271151724, 6.644974269510799, -142.96729233445456, 6.977144026431489
"PHP lines", 1e-05, 1, 0.0001, 27.75059987631412, -105.24612941486212, 85.82442878141347, 1.884761185374483, -15.263074182082327, 18.07149778802208, 6.8386000993656175, -149.39022509258993, 33.323225788105596
"PHP hunks", 1e-05, 1, 0.0001, 27.41017934446503, -103.22473615909003, 83.8135434191678, 1.7540796865028927, -13.297573203267568, 15.52178153139467, 6.621020468144531, -136.11145916019197, 37.82801736896682
"Python commits", 1e-05, 1, 0.0001, 68.91617810760661, -260.2081884058752, 210.81411862674855, 4.520436168680025, -35.10202320433354, 40.579830203956945, 7.931497531909674, -169.50410167799623, 26.72340375285933
"Python lines", 1e-05, 1, 0.0001, 70.88346320346312, -271.3074652003012, 221.5658540643978, 5.348712660775583, -47.40768393003095, 56.439390346950184, 8.783894825357855, -234.30865836795758, 44.073441986095126
"Python hunks", 1e-05, 1, 0.0001, 70.2033766233765, -267.09411109178126, 217.2872749459819, 4.826591114171038, -39.519597221802194, 46.1826673055698, 7.941253518637688, -164.54782960086644, 48.328045467214025
"R commits", 1e-05, 1, 0.0001, 6.350253555967838, -21.574548811423764, 18.69334592522879, 0.232717313461428, -0.3509194037262102, 1.8291620671503275, 3.250197882466596, -31.849555537202836, 7.668411902988024
